 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
138,image.tiff:0419-0840,108,101.213,7.597,98,86,124,839.824,419.130,839.814,419.043,39.913,834,413,12,13,15.198,9.048,48.877,0.852,15.811,10931,100,-3.239,56.466,0,10931,1,836,426,55.305,9.899,1.680,0.595,0.911
139,image.tiff:0445-0873,89,100.966,6.529,100,90,124,873.466,445.556,873.456,445.562,37.994,867,439,12,12,15.277,7.418,46.114,0.775,15.620,8986,100,-0.920,29.153,0,8986,1,867,450,39.806,7.778,2.060,0.486,0.913
140,image.tiff:0457-0857,134,102.030,9.656,102,83,141,858.052,457.590,858.068,457.513,53.428,847,451,21,13,23.994,7.111,25.185,0.590,23.707,13672,101,0.040,14.878,0,13672,1,847,463,27.646,8.054,3.374,0.296,0.873
141,image.tiff:0467-0881,202,102.208,8.731,97,88,130,881.208,467.733,881.412,467.707,54.846,872,459,18,16,19.975,12.876,37.718,0.844,21.260,20646,101,0.062,8.769,0,20646,1,872,474,41.186,13.435,1.551,0.645,0.929
142,image.tiff:0487-0873,126,111.032,7.732,112,98,135,873.103,487.476,873.030,487.488,40.811,867,481,12,13,13.366,12.003,95.846,0.951,14.318,13990,111,2.530,-38.281,0,13990,1,870,481,114.775,12.000,1.114,0.898,0.937
143,image.tiff:0461-0913,208,109.947,13.483,101,90,147,912.370,461.188,912.665,460.973,54.842,904,454,18,15,20.210,13.104,33.213,0.869,21.633,22869,106,0.214,4.155,0,22869,1,904,468,33.690,14.316,1.542,0.648,0.941
144,image.tiff:0487-0895,164,104.329,9.781,101,88,134,895.311,487.506,895.257,487.413,49.929,887,480,16,15,18.689,11.173,38.828,0.827,19.849,17110,102,0.278,6.860,0,17110,1,887,494,40.914,12.484,1.673,0.598,0.909
145,image.tiff:0495-0909,252,110.127,10.178,100,92,142,909.599,496.008,909.938,495.902,65.081,897,488,24,15,26.458,12.127,18.313,0.748,26.401,27752,109,-0.173,10.932,0,27752,1,897,500,24.624,12.647,2.182,0.458,0.916
146,image.tiff:0517-0885,241,108.585,9.846,108,91,142,884.591,517.417,884.286,517.741,78.762,872,505,26,25,33.846,9.066,48.386,0.488,32.802,26169,108,-0.808,22.151,0,26169,1,872,528,37.569,11.025,3.733,0.268,0.755
147,image.tiff:0460-0821,127,101.638,6.813,103,90,121,821.571,460.516,821.640,460.481,42.254,814,455,15,11,15.571,10.385,24.229,0.894,16.155,12908,102,0.596,-5.556,0,12908,1,814,463,21.801,11.000,1.499,0.667,0.941
148,image.tiff:0462-0836,145,103.193,6.695,104,87,122,836.334,462.190,836.380,462.104,47.472,829,455,15,15,18.545,9.955,43.184,0.809,19.209,14963,103,-0.825,22.891,0,14963,1,830,470,51.340,10.607,1.863,0.537,0.918
149,image.tiff:0421-0825,111,112.847,10.089,106,92,141,825.167,420.842,825.243,420.696,39.879,819,415,13,12,15.181,9.310,38.878,0.877,15.811,12526,112,0.492,-1.691,0,12526,1,819,426,34.695,9.899,1.631,0.613,0.925
150,image.tiff:0434-0825,155,102.845,8.001,99,82,126,824.984,434.906,824.870,434.896,46.576,817,428,16,13,16.796,11.750,30.270,0.898,18.028,15941,102,4.443,-70.432,0,15941,1,817,440,33.690,12.728,1.429,0.700,0.925
151,image.tiff:0440-0835,199,104.930,10.099,101,85,143,835.430,440.912,835.361,441.035,56.490,827,431,16,19,22.478,11.272,52.261,0.784,23.601,20881,103,0.476,1.648,0,20881,1,828,450,53.616,12.021,1.994,0.501,0.932
152,image.tiff:0433-0805,143,115.014,9.023,112,97,141,805.206,433.878,805.036,434.000,48.239,797,426,16,15,19.095,9.535,41.733,0.772,19.416,16447,115,-1.151,22.119,0,16447,1,797,440,34.509,10.405,2.003,0.499,0.897
153,image.tiff:0421-0778,108,110.667,12.856,105,90,152,778.157,421.361,778.390,421.131,41.827,771,416,15,11,17.075,8.053,29.033,0.776,17.493,11952,107,1.874,-10.827,0,11952,1,771,426,30.964,8.949,2.120,0.472,0.900
154,image.tiff:0527-0897,150,106.980,12.598,101,86,145,898.033,528.000,898.117,527.696,45.475,890,521,15,13,15.125,12.627,28.472,0.912,16.155,16047,105,0.859,-1.308,0,16047,1,890,531,21.801,13.000,1.198,0.835,0.935
155,image.tiff:0518-0921,180,106.672,9.029,103,91,142,921.428,518.283,921.336,518.229,51.162,913,511,17,15,19.374,11.830,35.562,0.864,20.248,19201,105,1.636,-6.812,0,19201,1,913,524,32.905,12.728,1.638,0.611,0.928
156,image.tiff:0495-0954,191,99.377,7.659,101,86,134,954.306,494.510,954.369,494.342,50.987,947,487,15,16,17.269,14.082,47.387,0.923,18.439,18981,99,2.182,-6.457,0,18981,1,947,500,40.601,14.849,1.226,0.815,0.943
157,image.tiff:0502-0971,181,100.961,6.239,99,88,124,971.086,502.622,971.152,502.621,51.138,963,495,17,15,18.636,12.366,33.433,0.870,19.235,18274,101,0.075,4.909,0,18274,1,963,508,27.897,12.801,1.507,0.664,0.926
158,image.tiff:0455-0797,202,103.649,7.956,101,87,129,797.777,455.797,797.531,455.898,60.802,786,448,23,15,25.607,10.044,28.681,0.687,25.942,20937,103,0.793,-3.506,0,20937,1,786,461,27.553,11.370,2.550,0.392,0.908
159,image.tiff:0448-0789,205,105.229,9.637,103,85,134,789.095,447.949,789.079,447.822,60.704,778,441,23,14,25.835,10.103,19.982,0.699,25.942,21572,104,0.058,4.067,0,21572,1,778,454,27.553,11.093,2.557,0.391,0.899
160,image.tiff:0470-0959,139,102.475,14.990,96,85,176,959.155,470.291,959.181,470.018,44.793,953,463,12,15,16.535,10.704,120.095,0.871,17.493,14244,98,3.233,5.043,0,14244,1,955,463,120.964,11.835,1.545,0.647,0.939
161,image.tiff:0471-0979,190,108.253,12.334,105,86,152,978.842,471.747,978.836,471.477,52.986,970,464,18,15,20.067,12.055,144.248,0.850,21.095,20568,105,0.891,5.600,0,20568,1,970,467,148.570,12.728,1.665,0.601,0.936
162,image.tiff:0520-0979,170,109.065,8.374,105,94,134,979.424,520.506,979.582,520.453,49.272,971,513,16,15,17.888,12.101,37.497,0.880,18.601,18541,107,0.917,-1.686,0,18541,1,972,526,36.254,12.658,1.478,0.676,0.921
163,image.tiff:0544-0970,228,108.285,11.218,103,91,162,971.132,545.390,971.257,545.176,58.567,960,537,20,15,20.647,14.060,13.890,0.835,21.190,24689,106,3.284,-8.369,0,24689,1,960,548,19.290,15.000,1.468,0.681,0.923
164,image.tiff:0472-0856,230,100.104,7.846,98,87,124,856.691,472.326,856.810,472.320,58.699,848,463,17,19,20.294,14.430,54.222,0.839,21.401,23024,98,0.740,1.837,0,23024,1,848,477,37.405,16.132,1.406,0.711,0.918
165,image.tiff:0492-0848,257,107.977,8.136,107,93,142,848.621,491.951,848.654,491.993,66.793,836,485,25,14,26.412,12.389,174.531,0.724,25.710,27750,107,0.740,2.704,0,27750,1,836,495,13.496,13.164,2.132,0.469,0.876
166,image.tiff:0512-0870,114,106.193,10.051,101,88,136,870.132,512.263,869.985,512.289,39.312,864,507,13,11,13.127,11.058,19.253,0.927,13.928,12106,104,1.635,-4.495,0,12106,1,864,515,21.038,11.000,1.187,0.842,0.931
167,image.tiff:0528-0946,187,125.369,24.376,101,95,194,946.612,528.885,946.333,528.530,50.893,938,521,16,15,17.348,13.725,36.020,0.907,18.868,23444,118,1.081,0.975,0,23444,1,938,533,32.005,14.142,1.264,0.791,0.942
168,image.tiff:0513-0947,135,104.496,11.823,91,85,145,945.611,513.589,945.607,513.523,47.381,939,507,16,13,16.003,10.741,179.545,0.756,17.088,14107,103,1.024,-0.652,0,14107,1,939,509,159.444,13.000,1.490,0.671,0.860
169,image.tiff:0475-0919,124,115.847,14.050,119,91,152,919.266,475.565,919.162,475.348,43.340,911,470,16,11,16.718,9.444,23.968,0.830,17.464,14365,114,0.105,3.774,0,14365,1,911,478,23.629,10.290,1.770,0.565,0.915
170,image.tiff:0483-0936,147,117.020,9.982,111,100,153,935.997,483.337,936.034,483.328,49.022,929,475,14,17,18.253,10.254,53.971,0.769,19.235,17202,116,1.468,-6.462,0,17202,1,933,492,62.103,11.805,1.780,0.562,0.888
